ticker,ts_utc,date,year,month,o,h,l,c,v,vw,n,t,run_id,market_date,source
VANI,2026-07-08T20:07:00Z,2026-07-08,2026,7,1.5815,1.5815,1.5815,1.5815,99,1.5815,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:45:00Z,2026-07-08,2026,7,4.3799,4.38,4.367,4.38,1021,4.378076787463272,17,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:46:00Z,2026-07-08,2026,7,4.38,4.3999,4.3618,4.3804,601,4.390974708818634,14,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:47:00Z,2026-07-08,2026,7,4.38,4.4,4.37,4.38,721,4.38256588072122,10,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:48:00Z,2026-07-08,2026,7,4.4,4.4,4.37,4.38,1148,4.377980836236934,14,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:49:00Z,2026-07-08,2026,7,4.38,4.46,4.38,4.46,1048,4.393844465648855,20,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:50:00Z,2026-07-08,2026,7,4.46,4.52,4.38,4.485,619,4.453004846526657,24,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:51:00Z,2026-07-08,2026,7,4.485,4.51,4.45,4.4901,889,4.470976602924635,42,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:52:00Z,2026-07-08,2026,7,4.49,4.51,4.49,4.4901,733,4.494290586630287,11,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:53:00Z,2026-07-08,2026,7,4.5,4.55,4.5,4.55,772,4.520232642487045,58,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:54:00Z,2026-07-08,2026,7,4.54,4.6299,4.54,4.56,452,4.57358296460177,31,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:55:00Z,2026-07-08,2026,7,4.59,4.65,4.49,4.6,3789,4.587707785695434,66,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:56:00Z,2026-07-08,2026,7,4.61,4.65,4.565,4.62,2965,4.6102757166947725,37,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:57:00Z,2026-07-08,2026,7,4.565,4.6,4.5625,4.6,2196,4.588661475409837,44,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:58:00Z,2026-07-08,2026,7,4.6,4.6,4.585,4.6,3604,4.5981259433962265,72,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T19:59:00Z,2026-07-08,2026,7,4.599,4.65,4.58,4.63,5796,4.610892253278123,84,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:00:00Z,2026-07-08,2026,7,4.64,4.64,4.64,4.64,53,4.64,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:01:00Z,2026-07-08,2026,7,4.5923,4.73,4.5923,4.71,267,4.594411985018728,6,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:02:00Z,2026-07-08,2026,7,4.6999,4.6999,4.6894,4.6894,4,4.692025,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:04:00Z,2026-07-08,2026,7,4.7,4.7,4.64,4.64,1024,4.69988193359375,5,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:05:00Z,2026-07-08,2026,7,4.64,4.64,4.64,4.64,10,4.64,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:06:00Z,2026-07-08,2026,7,4.63,4.65,4.61,4.64,28,4.633571428571428,9,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VEEE,2026-07-08T20:07:00Z,2026-07-08,2026,7,4.65,4.66,4.65,4.66,2,4.655,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:42:00Z,2026-07-08,2026,7,1.2,1.2,1.2,1.2,605,1.2,8,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:43:00Z,2026-07-08,2026,7,1.2,1.21,1.1901,1.21,89,1.2004988764044944,6,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:44:00Z,2026-07-08,2026,7,1.2,1.21,1.2,1.21,91,1.2092131868131868,5,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:45:00Z,2026-07-08,2026,7,1.2099,1.2099,1.2096,1.2096,724,1.209785635359116,4,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:46:00Z,2026-07-08,2026,7,1.2001,1.2001,1.2,1.2,317,1.2000003154574133,3,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:48:00Z,2026-07-08,2026,7,1.21,1.21,1.2,1.2,13,1.2076923076923074,4,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:51:00Z,2026-07-08,2026,7,1.2001,1.21,1.2,1.2001,2373,1.2040877370417191,19,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:52:00Z,2026-07-08,2026,7,1.2001,1.2001,1.2001,1.2001,1,1.2001,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:53:00Z,2026-07-08,2026,7,1.2,1.2,1.2,1.2,60,1.2,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:54:00Z,2026-07-08,2026,7,1.21,1.21,1.205,1.205,77,1.2099350649350649,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:55:00Z,2026-07-08,2026,7,1.19,1.22,1.19,1.21,2193,1.2058413132694938,19,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:56:00Z,2026-07-08,2026,7,1.2,1.21,1.2,1.2099,58,1.209810344827586,3,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:57:00Z,2026-07-08,2026,7,1.21,1.21,1.2,1.205,3681,1.2025278456941049,24,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:58:00Z,2026-07-08,2026,7,1.21,1.21,1.2,1.21,2588,1.2099961360123648,12,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T19:59:00Z,2026-07-08,2026,7,1.21,1.28,1.2,1.265,8871,1.2407537030774434,79,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:00:00Z,2026-07-08,2026,7,1.2799,1.2799,1.2716,1.2716,38,1.2718184210526315,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:01:00Z,2026-07-08,2026,7,1.28,1.28,1.28,1.28,2,1.28,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:02:00Z,2026-07-08,2026,7,1.27,1.27,1.27,1.27,5,1.27,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:03:00Z,2026-07-08,2026,7,1.25,1.25,1.24,1.24,404,1.2401732673267325,6,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:04:00Z,2026-07-08,2026,7,1.24,1.28,1.24,1.2409,908,1.2409730176211455,18,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:05:00Z,2026-07-08,2026,7,1.2414,1.2414,1.24,1.24,5,1.24028,5,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VMAR,2026-07-08T20:06:00Z,2026-07-08,2026,7,1.24,1.26,1.23,1.25,536,1.2446082089552237,10,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:50:00Z,2026-07-08,2026,7,1.395,1.4,1.39,1.395,35761,1.3958300522916023,86,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:51:00Z,2026-07-08,2026,7,1.4,1.4,1.38,1.39,92242,1.3899043537650961,366,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
VTAK,2026-07-08T19:52:00Z,2026-07-08,2026,7,1.385,1.39,1.38,1.385,47769,1.3874036488098977,265,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
