ticker,year_files,rows,split_non1_rows,div_non1_rows,adj_non1_rows,activation_profile
LCNB,16,3586,0,3581,3581,dividend_only
LCUT,22,5327,0,5327,5327,dividend_only
LDI,6,1272,0,287,287,dividend_only
LENS,12,2194,0,1818,1818,dividend_only
LEVL,5,995,0,993,993,dividend_only
LFT,12,2200,0,2200,2200,dividend_only
LGPS,2,239,0,70,70,dividend_only
LGTY,7,1186,0,1146,1146,dividend_only
LIEN,3,355,0,355,355,dividend_only
LKSD,4,815,0,656,656,dividend_only
LMNR,17,3968,0,3922,3922,dividend_only
LMPX,8,1167,0,849,849,dividend_only
LMRK,8,1788,0,1752,1752,dividend_only
LNKB,6,956,0,950,950,dividend_only
LOAN,19,4135,0,4135,4135,dividend_only
LOCO,13,2921,0,2076,2076,dividend_only
LRFC,5,997,0,959,959,dividend_only
LSE,12,2528,0,2193,2193,dividend_only
LTS,16,3805,0,3763,3763,dividend_only
LXFR,15,3374,0,3344,3344,dividend_only
LYTS,22,5327,0,5303,5303,dividend_only
MATH,17,2971,0,1750,1750,dividend_only
MATW,22,5327,0,5308,5308,dividend_only
MBI,22,5327,0,3266,3266,dividend_only
MBINN,6,1243,0,1243,1243,dividend_only
MBWM,22,5325,0,5324,5324,dividend_only
MCB,15,2441,0,2413,2413,dividend_only
MCBS,8,1614,0,1592,1592,dividend_only
MCFT,12,2675,0,228,228,dividend_only
MCHB,5,176,0,176,176,dividend_only
MCHX,22,5327,0,3316,3316,dividend_only
MCS,22,5327,0,5319,5319,dividend_only
MDCA,17,4094,0,2839,2839,dividend_only
MDH,11,2476,0,802,802,dividend_only
MDV,7,1268,0,1268,1268,dividend_only
MED,22,5327,0,4708,4708,dividend_only
MEI,20,4625,0,4625,4625,dividend_only
MELR,6,757,0,757,757,dividend_only
MERC,21,5034,0,4859,4859,dividend_only
MFIC,5,893,0,893,893,dividend_only
MFIN,11,2469,0,2469,2469,dividend_only
MFNC,17,3172,0,3126,3126,dividend_only
MFSF,16,3645,0,3614,3614,dividend_only
MGPI,22,5327,0,5327,5327,dividend_only
MGYR,21,3537,0,3523,3523,dividend_only
MHLD,18,4290,0,2617,2617,dividend_only
MKTY,6,1223,0,1065,1065,dividend_only
MLAB,22,5065,0,5059,5059,dividend_only
MLR,22,5327,0,5327,5327,dividend_only
MMA,7,1264,0,775,775,dividend_only
MMLP,22,5327,0,5307,5307,dividend_only
MMV,18,3852,0,3341,3341,dividend_only
MN,12,2748,0,2693,2693,dividend_only
MNDO,22,5320,0,5081,5081,dividend_only
MNSB,8,1726,0,1707,1707,dividend_only
MNSBP,7,1075,0,1075,1075,dividend_only
MOFG,19,4448,0,4428,4428,dividend_only
MOV,22,5327,0,5327,5327,dividend_only
MPB,19,3757,0,3737,3737,dividend_only
MRCC,15,3358,0,3358,3358,dividend_only
MRLN,18,4289,0,4238,4238,dividend_only
MRT,15,2834,0,2166,2166,dividend_only
MSB,22,5327,0,5302,5302,dividend_only
MSBF,14,2372,0,2358,2358,dividend_only
MSBI,11,2460,0,2445,2445,dividend_only
MSEX,22,5327,0,5313,5313,dividend_only
MSIF,2,277,0,277,277,dividend_only
MSN,22,5278,0,2180,2180,dividend_only
MSW,11,2332,0,812,812,dividend_only
MTR,22,5307,0,5307,5307,dividend_only
MVBF,10,2068,0,2062,2062,dividend_only
MXC,22,5074,0,4888,4888,dividend_only
MYE,22,5327,0,5327,5327,dividend_only
NAT,22,5327,0,5327,5327,dividend_only
NATH,22,5302,0,5288,5288,dividend_only
NATR,19,4335,0,3093,3093,dividend_only
NAUH,16,2444,0,1823,1823,dividend_only
NAVI,20,4557,0,4556,4556,dividend_only
NBBK,4,548,0,527,527,dividend_only
NC,22,5327,0,5322,5322,dividend_only
NCDL,3,530,0,530,530,dividend_only
NECB,16,3236,0,3236,3236,dividend_only
NEP,20,4244,0,3951,3951,dividend_only
NETD,3,509,0,201,201,dividend_only
NETI,3,728,0,706,706,dividend_only
NEWTG,3,439,0,433,433,dividend_only
NEWTH,3,368,0,368,368,dividend_only
NEWTI,8,1243,0,1237,1237,dividend_only
NEWTZ,11,1699,0,1689,1689,dividend_only
NEXA,10,2099,0,2099,2099,dividend_only
NFBK,20,4609,0,4593,4593,dividend_only
