ticker,date,rows_for_key,excess_rows
CPS,2020-10-07,8,7
CPS,2020-10-08,8,7
CPS,2020-10-09,8,7
CPS,2020-10-12,8,7
CPS,2020-10-13,8,7
CPS,2020-10-14,8,7
CPS,2020-10-15,8,7
CPS,2020-10-16,8,7
CPS,2020-10-19,8,7
CPS,2020-10-20,8,7
CPS,2020-10-21,8,7
CPS,2020-10-22,8,7
CPS,2020-10-23,8,7
CPS,2020-10-26,8,7
CPS,2020-10-27,8,7
CPS,2020-10-28,8,7
CPS,2020-10-29,8,7
CPS,2020-10-30,8,7
CPS,2020-11-02,8,7
CPS,2020-11-03,8,7
CPS,2020-11-04,8,7
CPS,2020-11-05,8,7
CPS,2020-11-06,8,7
CPS,2020-11-09,8,7
CPS,2020-11-10,8,7
CPS,2020-11-11,8,7
CPS,2020-11-12,8,7
CPS,2020-11-13,4,3
CPS,2020-11-16,8,7
CPS,2020-11-17,8,7
CPS,2020-11-18,8,7
CPS,2020-11-19,8,7
CPS,2020-11-20,8,7
CPS,2020-11-23,8,7
CPS,2020-11-24,8,7
CPS,2020-11-25,8,7
CPS,2020-11-27,8,7
CPS,2020-11-30,8,7
CPS,2020-12-01,8,7
CPS,2020-12-02,8,7
CPS,2020-12-03,8,7
CPS,2020-12-04,8,7
CPS,2020-12-07,8,7
CPS,2020-12-08,8,7
CPS,2020-12-09,8,7
CPS,2020-12-10,8,7
CPS,2020-12-11,8,7
CPS,2020-12-14,8,7
CPS,2020-12-15,8,7
CPS,2020-12-16,8,7
CPS,2020-12-17,8,7
CPS,2020-12-18,8,7
CPS,2020-12-21,8,7
CPS,2020-12-22,8,7
CPS,2020-12-23,8,7
CPS,2020-12-24,8,7
CPS,2020-12-28,8,7
CPS,2020-12-29,8,7
CPS,2020-12-30,8,7
CPS,2020-12-31,8,7
CPS,2021-01-04,8,7
CPS,2021-01-05,8,7
CPS,2021-01-06,8,7
CPS,2021-01-07,8,7
CPS,2021-01-08,8,7
CPS,2021-01-11,8,7
CPS,2021-01-12,8,7
CPS,2021-01-13,8,7
CPS,2021-01-14,8,7
CPS,2021-01-15,8,7
CPS,2021-01-19,8,7
CPS,2021-01-20,8,7
CPS,2021-01-21,8,7
CPS,2021-01-22,8,7
CPS,2021-01-25,8,7
CPS,2021-01-26,8,7
CPS,2021-01-27,8,7
CPS,2021-01-28,8,7
CPS,2021-01-29,8,7
CPS,2021-02-01,8,7
CPS,2021-02-02,8,7
CPS,2021-02-03,8,7
CPS,2021-02-04,8,7
CPS,2021-02-05,16,15
CPS,2021-02-08,8,7
CPS,2021-02-09,8,7
CPS,2021-02-10,8,7
CPS,2021-02-11,4,3
LFTR,2022-01-20,4,3
LFTR,2022-01-21,4,3
LFTR,2022-01-24,2,1
LFTR,2022-01-25,4,3
LFTR,2022-01-28,8,7
LFTR,2022-01-31,4,3
LFTR,2022-02-01,4,3
LFTR,2022-02-02,4,3
LFTR,2022-02-03,4,3
LFTR,2022-02-04,4,3
LFTR,2022-02-07,4,3
